GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District,early,count,ppm,hr25,hr50,hr75,hr_near_57,shr_by_57,d25,d50,d75,dav
360670001001,6.924732717,27.44149271,0.252345337,0.009459302,1.919699799,0.492749037,1.472201165,2.491652667,0.090798729,740.0,646.0,68667.0,0.2095,0.7523,3.0,1,3413,124.37370066083406,36,70,90,56,0.3477878699091708,2,31,45,26.0
360670002001,2.814114289,6.933595174,0.405866541,0.120584731,0.178973423,67.37577535,2.553522885,0.110894872,0.015993849,2047.0,892.0,45906.0,0.4934,0.88,5.0,2,1987,286.5757157918548,43,56,68,56,0.5676899849018621,9,17,23,16.333333333333332
360670002002,1.729800623,4.193004648,0.412544409,0.057829499,0.110795066,52.19501251,2.011153871,0.0,0.0,1434.0,821.0,34833.0,0.3633,0.6918,4.0,2,1771,422.370149492856,36,66,69,55,0.4449463579898362,2,27,24,17.666666666666668
360670003001,0.696710169,2.211266746,0.315072874,0.05883627,0.07061193,83.32341334,0.98036786,0.055268325,0.024993966,699.0,346.0,69831.0,0.2589,0.9046,5.0,3,698,315.65617366725417,39,46,69,53,0.5472779369627507,5,7,24,12.0
360670003002,0.81177332,2.502347237,0.324404746,0.049120517,0.086276196,56.93403182,1.905753564,0.426212458,0.170325066,758.0,383.0,46250.0,0.5937,0.812,5.0,2,837,334.48595287816966,42,46,70,56,0.5878136200716846,8,7,25,13.333333333333334
360670004001,0.888293264,5.196403876,0.170943846,0.134839107,0.301262392,44.75802832,2.481208082,0.084510852,0.016263334,1326.0,792.0,53214.0,0.1259,0.8561,5.0,0,1285,247.28639856783911,49,59,74,56,0.4583657587548638,15,20,29,21.333333333333332
360670004002,1.36002655,2.956354254,0.460035041,0.053364724,0.094192201,56.65514105,1.618505879,0.073666386,0.024917983,1578.0,452.0,51125.0,0.5722,1.0,5.0,1,1282,433.64221262233076,42,48,71,56,0.6014040561622465,8,9,26,14.333333333333334
360670004003,0.468651744,2.157339351,0.217235987,0.068297164,0.081305043,84.00114106,1.848514951,0.0,0.0,1235.0,487.0,72625.0,0.2713,0.9363,5.0,1,572,265.14141121787753,47,49,71,50,0.5262237762237763,13,10,26,16.333333333333332
360670005011,2.877085661,5.236667351,0.549411576,0.029356402,0.082336144,35.65433156,2.234335092,0.049556909,0.009463444,1363.0,580.0,33150.0,0.5825,0.7466,3.0,1,2393,456.9700230324979,44,62,69,56,0.4308399498537401,10,23,24,19.0
360670005012,1.644142713,3.173366482,0.518106787,0.013732267,0.064801012,21.19143885,1.965492604,0.0,0.0,1045.0,589.0,27464.0,0.6383,0.7725,4.0,1,2139,674.0475807420468,48,63,68,56,0.4114071996259935,14,24,23,20.333333333333332
360670006001,0.710962675,2.040732956,0.348385943,0.046013686,0.0703043,65.4493204,3.443532803,0.156405862,0.076642004,1296.0,684.0,26188.0,0.3426,0.9079,4.0,0,733,359.1846732542306,42,60,71,55,0.49113233287858116,8,21,26,18.333333333333332
360670006002,0.500005326,2.027272331,0.246639446,0.036039253,0.045279311,79.59320072,2.803207626,0.012195099,0.006015521,1079.0,523.0,31161.0,0.57,0.7725,4.0,1,592,292.01799430073714,41,56,71,56,0.5152027027027027,7,17,26,16.666666666666668
360670006003,0.86784485,1.637260928,0.530058975,0.027361177,0.047868227,57.15937041,2.988402381,0.0,0.0,758.0,472.0,22853.0,0.8483,0.6631,4.0,0,487,297.4480070167533,44,69,71,56,0.4517453798767967,10,30,26,22.0
360670007001,0.43244349,1.680124348,0.257387788,0.037665816,0.041178493,91.46963248,2.314659523,0.025634094,0.01525726,803.0,380.0,27969.0,0.3711,0.75,5.0,2,394,234.50645213791043,49,51,60,56,0.5329949238578681,15,12,15,14.0
360670007002,0.16473625,2.201887571,0.074815922,0.035382735,0.042676741,82.90870873,3.969981003,0.126386154,0.057399004,818.0,363.0,36759.0,0.6614,0.8815,5.0,2,636,288.84308553100055,48,50,60,56,0.6839622641509434,14,11,15,13.333333333333334
360670008001,0.667056297,3.558069511,0.187477028,0.073016936,0.079760857,91.54482391,2.501764664,0.076780329,0.02157921,1576.0,608.0,59047.0,0.4695,0.903,5.0,1,1270,356.93512902817486,46,62,70,56,0.40551181102362205,12,23,25,20.0
360670008002,0.509112009,3.676773948,0.138467041,0.053457738,0.123687655,43.21994614,2.556625158,0.183769077,0.049981065,1433.0,606.0,21950.0,0.7355,0.7442,5.0,1,792,215.4062260016862,57,61,70,51,0.2196969696969697,23,22,25,23.333333333333332
360670009001,0.544906371,1.910304276,0.285245852,0.070940746,0.073437523,96.60013466,0.638736617,0.0,0.0,927.0,444.0,41618.0,0.1888,0.8288,5.0,1,845,442.3379095236868,39,59,71,53,0.49940828402366866,5,20,26,17.0
360670009002,1.977036421,5.039485294,0.392309196,0.156148026,0.180956621,86.29030821,1.52824778,0.116839382,0.023184785,907.0,442.0,79875.0,0.161,0.9389,5.0,0,1052,208.75147730910314,41,58,72,54,0.3925855513307985,7,19,27,17.666666666666668
360670009003,0.514996323,3.508237434,0.146796314,0.096282231,0.123406882,78.02014743,0.814710447,0.0,0.0,1351.0,735.0,65037.0,0.1887,0.8803,5.0,1,1191,339.48671445594067,39,59,73,54,0.3963056255247691,5,20,28,17.666666666666668
360670010001,0.41791316,1.691103324,0.247124557,0.044245725,0.118396462,37.37081694,2.286386111,0.174276516,0.103054919,693.0,482.0,32300.0,0.2266,0.7842,6.0,3,738,436.4014838870957,33,42,65,51,0.6124661246612466,-1,3,20,8.0
