geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670151003,"Block Group 3, Census Tract 151, Onondaga County, New York",503,491,12,36,067,015100,3,b25002
360670131001,"Block Group 1, Census Tract 131, Onondaga County, New York",373,330,43,36,067,013100,1,b25002
360670131003,"Block Group 3, Census Tract 131, Onondaga County, New York",475,452,23,36,067,013100,3,b25002
360670139002,"Block Group 2, Census Tract 139, Onondaga County, New York",471,443,28,36,067,013900,2,b25002
360670154001,"Block Group 1, Census Tract 154, Onondaga County, New York",692,588,104,36,067,015400,1,b25002
360670154002,"Block Group 2, Census Tract 154, Onondaga County, New York",742,701,41,36,067,015400,2,b25002
360670165024,"Block Group 4, Census Tract 165.02, Onondaga County, New York",426,426,0,36,067,016502,4,b25002
360670165022,"Block Group 2, Census Tract 165.02, Onondaga County, New York",622,589,33,36,067,016502,2,b25002
360670015001,"Block Group 1, Census Tract 15, Onondaga County, New York",692,502,190,36,067,001500,1,b25002
360670146001,"Block Group 1, Census Tract 146, Onondaga County, New York",892,721,171,36,067,014600,1,b25002
360670146004,"Block Group 4, Census Tract 146, Onondaga County, New York",336,336,0,36,067,014600,4,b25002
360670146002,"Block Group 2, Census Tract 146, Onondaga County, New York",337,313,24,36,067,014600,2,b25002
360670043023,"Block Group 3, Census Tract 43.02, Onondaga County, New York",536,395,141,36,067,004302,3,b25002
360670043022,"Block Group 2, Census Tract 43.02, Onondaga County, New York",85,57,28,36,067,004302,2,b25002
360670021011,"Block Group 1, Census Tract 21.01, Onondaga County, New York",285,183,102,36,067,002101,1,b25002
360670021012,"Block Group 2, Census Tract 21.01, Onondaga County, New York",540,410,130,36,067,002101,2,b25002
360670137013,"Block Group 3, Census Tract 137.01, Onondaga County, New York",484,457,27,36,067,013701,3,b25002
360670137014,"Block Group 4, Census Tract 137.01, Onondaga County, New York",409,409,0,36,067,013701,4,b25002
360670005011,"Block Group 1, Census Tract 5.01, Onondaga County, New York",580,433,147,36,067,000501,1,b25002
360670005012,"Block Group 2, Census Tract 5.01, Onondaga County, New York",589,455,134,36,067,000501,2,b25002
360670029012,"Block Group 2, Census Tract 29.01, Onondaga County, New York",637,536,101,36,067,002901,2,b25002
360670156011,"Block Group 1, Census Tract 156.01, Onondaga County, New York",593,567,26,36,067,015601,1,b25002
360670156013,"Block Group 3, Census Tract 156.01, Onondaga County, New York",439,386,53,36,067,015601,3,b25002
360670151004,"Block Group 4, Census Tract 151, Onondaga County, New York",482,442,40,36,067,015100,4,b25002
360670151001,"Block Group 1, Census Tract 151, Onondaga County, New York",525,525,0,36,067,015100,1,b25002
360670169022,"Block Group 2, Census Tract 169.02, Onondaga County, New York",346,273,73,36,067,016902,2,b25002
360670169021,"Block Group 1, Census Tract 169.02, Onondaga County, New York",558,533,25,36,067,016902,1,b25002
360670152032,"Block Group 2, Census Tract 152.03, Onondaga County, New York",831,790,41,36,067,015203,2,b25002
360670152031,"Block Group 1, Census Tract 152.03, Onondaga County, New York",324,324,0,36,067,015203,1,b25002
360670142001,"Block Group 1, Census Tract 142, Onondaga County, New York",394,394,0,36,067,014200,1,b25002
360670142002,"Block Group 2, Census Tract 142, Onondaga County, New York",684,605,79,36,067,014200,2,b25002
360670144002,"Block Group 2, Census Tract 144, Onondaga County, New York",386,231,155,36,067,014400,2,b25002
360670145002,"Block Group 2, Census Tract 145, Onondaga County, New York",819,763,56,36,067,014500,2,b25002
360670146003,"Block Group 3, Census Tract 146, Onondaga County, New York",305,282,23,36,067,014600,3,b25002
360670155002,"Block Group 2, Census Tract 155, Onondaga County, New York",702,680,22,36,067,015500,2,b25002
360670155001,"Block Group 1, Census Tract 155, Onondaga County, New York",534,534,0,36,067,015500,1,b25002
360670158002,"Block Group 2, Census Tract 158, Onondaga County, New York",316,316,0,36,067,015800,2,b25002
360670158003,"Block Group 3, Census Tract 158, Onondaga County, New York",458,458,0,36,067,015800,3,b25002
360670158001,"Block Group 1, Census Tract 158, Onondaga County, New York",837,837,0,36,067,015800,1,b25002
360670160011,"Block Group 1, Census Tract 160.01, Onondaga County, New York",584,584,0,36,067,016001,1,b25002
360670160012,"Block Group 2, Census Tract 160.01, Onondaga County, New York",365,365,0,36,067,016001,2,b25002
360670161001,"Block Group 1, Census Tract 161, Onondaga County, New York",919,792,127,36,067,016100,1,b25002
360670164002,"Block Group 2, Census Tract 164, Onondaga County, New York",489,468,21,36,067,016400,2,b25002
360670164001,"Block Group 1, Census Tract 164, Onondaga County, New York",518,518,0,36,067,016400,1,b25002
360670164003,"Block Group 3, Census Tract 164, Onondaga County, New York",872,727,145,36,067,016400,3,b25002
360670009001,"Block Group 1, Census Tract 9, Onondaga County, New York",444,368,76,36,067,000900,1,b25002
360670009002,"Block Group 2, Census Tract 9, Onondaga County, New York",442,415,27,36,067,000900,2,b25002
360670020002,"Block Group 2, Census Tract 20, Onondaga County, New York",668,567,101,36,067,002000,2,b25002
360670020001,"Block Group 1, Census Tract 20, Onondaga County, New York",445,352,93,36,067,002000,1,b25002
360670030002,"Block Group 2, Census Tract 30, Onondaga County, New York",451,375,76,36,067,003000,2,b25002
360670044002,"Block Group 2, Census Tract 44, Onondaga County, New York",573,425,148,36,067,004400,2,b25002
360670044001,"Block Group 1, Census Tract 44, Onondaga County, New York",240,165,75,36,067,004400,1,b25002
360670004002,"Block Group 2, Census Tract 4, Onondaga County, New York",452,452,0,36,067,000400,2,b25002
360670007001,"Block Group 1, Census Tract 7, Onondaga County, New York",380,285,95,36,067,000700,1,b25002
360670007002,"Block Group 2, Census Tract 7, Onondaga County, New York",363,320,43,36,067,000700,2,b25002
360670010004,"Block Group 4, Census Tract 10, Onondaga County, New York",542,438,104,36,067,001000,4,b25002
360670010002,"Block Group 2, Census Tract 10, Onondaga County, New York",698,589,109,36,067,001000,2,b25002
360670152012,"Block Group 2, Census Tract 152.01, Onondaga County, New York",734,654,80,36,067,015201,2,b25002
360670152011,"Block Group 1, Census Tract 152.01, Onondaga County, New York",676,660,16,36,067,015201,1,b25002
360670107001,"Block Group 1, Census Tract 107, Onondaga County, New York",372,329,43,36,067,010700,1,b25002
360670107002,"Block Group 2, Census Tract 107, Onondaga County, New York",614,582,32,36,067,010700,2,b25002
360670120002,"Block Group 2, Census Tract 120, Onondaga County, New York",743,687,56,36,067,012000,2,b25002
360670120004,"Block Group 4, Census Tract 120, Onondaga County, New York",753,642,111,36,067,012000,4,b25002
