geoid,pop,units,med_inc,shr_poc,shr_occ
360670054003,576.0,235.0,20104.0,0.6962,0.7957
360670054004,750.0,406.0,27232.0,0.8827,0.6502
360670055001,673.0,389.0,53269.0,0.6761,0.8226
360670055002,1862.0,940.0,18675.0,0.5467,0.9372
360670055003,1028.0,825.0,37284.0,0.5924,0.7503
360670056011,1599.0,779.0,85417.0,0.1576,0.8909
360670056021,3950.0,165.0,,0.3997,0.3818
360670057001,815.0,402.0,56731.0,0.5178,0.8607
360670057002,986.0,496.0,35781.0,0.7323,0.7903
360670058001,753.0,365.0,25455.0,0.8207,0.6411
360670058002,395.0,255.0,16477.0,0.6354,0.6392
360670058003,834.0,375.0,28906.0,0.7854,0.696
360670059001,864.0,417.0,37560.0,0.8241,0.705
360670059002,727.0,318.0,35474.0,0.7882,0.8585
360670060001,367.0,216.0,68984.0,0.5886,0.6806
360670060002,796.0,348.0,70677.0,0.1533,0.9282
360670060003,1394.0,639.0,48532.0,0.4785,0.928
360670060004,1020.0,540.0,33947.0,0.5471,0.8667
360670061011,1780.0,766.0,19110.0,0.4798,0.7611
360670061012,864.0,395.0,22303.0,0.6215,0.8076
360670061013,1206.0,638.0,23581.0,0.6998,0.884
360670061021,776.0,717.0,15913.0,0.3647,1.0
360670061022,1066.0,800.0,28438.0,0.5,0.735
360670061031,1923.0,826.0,92857.0,0.208,0.9056
360670061032,707.0,369.0,47917.0,0.3013,0.8428
360670101001,1001.0,500.0,89848.0,0.005,0.812
360670101002,1528.0,794.0,82262.0,0.0412,0.7985
360670102001,3204.0,1368.0,56311.0,0.0406,0.9386
360670102002,1501.0,585.0,114069.0,0.0293,0.8581
360670102003,1059.0,639.0,59859.0,0.0217,0.8498
360670103011,581.0,227.0,86838.0,0.0,1.0
360670103012,815.0,262.0,61429.0,0.0,1.0
360670103013,1863.0,637.0,105179.0,0.0682,1.0
360670103014,753.0,530.0,38385.0,0.0332,1.0
360670103015,1503.0,772.0,71974.0,0.0725,0.9378
360670103211,1196.0,448.0,86058.0,0.0527,0.9665
360670103212,1558.0,563.0,118897.0,0.0642,0.9609
360670103221,2212.0,842.0,107243.0,0.0041,0.9181
360670103222,1385.0,568.0,99867.0,0.1126,0.9384
360670104001,1614.0,713.0,59688.0,0.0285,0.9495
360670104002,2458.0,923.0,113250.0,0.0618,0.9068
360670105001,1230.0,464.0,95357.0,0.026,0.9698
360670105002,1290.0,490.0,72000.0,0.0984,0.9143
360670106001,979.0,484.0,57130.0,0.0838,0.9008
360670106002,1187.0,569.0,61875.0,0.0708,0.8981
360670107001,712.0,372.0,44344.0,0.2037,0.8844
360670107002,1239.0,614.0,68571.0,0.1114,0.9479
360670108001,1166.0,697.0,31992.0,0.1484,1.0
360670108002,598.0,311.0,48403.0,0.0017,1.0
360670108003,1013.0,441.0,59274.0,0.1125,0.9637
360670108004,2039.0,776.0,60268.0,0.0731,1.0
360670109001,1105.0,468.0,61780.0,0.0597,0.9124
360670109002,1279.0,553.0,71500.0,0.1329,0.991
360670110111,1045.0,328.0,120223.0,0.0,0.9543
360670110112,1073.0,646.0,48182.0,0.2004,1.0
360670110113,1401.0,572.0,88785.0,0.0821,0.9423
360670110121,1192.0,415.0,74331.0,0.1049,0.9663
360670110122,1211.0,434.0,95556.0,0.0339,1.0
360670110123,1526.0,1030.0,49301.0,0.2123,0.9641
360670110211,1780.0,652.0,95000.0,0.1382,0.9049
360670110212,1082.0,451.0,95573.0,0.049,1.0
360670110221,2070.0,766.0,65662.0,0.0865,1.0
360670110222,1415.0,574.0,83889.0,0.0452,1.0
360670111011,1256.0,550.0,101053.0,0.129,0.8945
360670111012,1322.0,432.0,81509.0,0.3563,1.0
360670111013,1114.0,530.0,59965.0,0.1239,0.8585
360670111014,592.0,169.0,133393.0,0.2061,1.0
360670111015,1636.0,613.0,98817.0,0.0293,1.0
360670111021,772.0,421.0,44861.0,0.149,0.943
360670111022,1696.0,954.0,50264.0,0.2188,0.9214
360670111023,882.0,614.0,34943.0,0.3345,0.6954
360670112011,938.0,230.0,60363.0,0.1386,1.0
360670112012,854.0,364.0,63365.0,0.0878,0.9121
360670112013,1184.0,496.0,80833.0,0.0633,1.0
360670112014,868.0,496.0,53487.0,0.0657,0.9052
360670112021,2699.0,1191.0,76691.0,0.0997,0.9798
360670112022,1800.0,631.0,132188.0,0.1428,1.0
360670112311,1104.0,450.0,58611.0,0.0697,1.0
360670112312,1858.0,791.0,78000.0,0.1975,0.9456
360670112313,1707.0,688.0,82277.0,0.1658,0.9666
360670112321,2750.0,1101.0,105462.0,0.0731,0.931
360670112322,1282.0,594.0,54813.0,0.0819,1.0
360670112411,1019.0,393.0,118906.0,0.103,0.9288
360670112412,1397.0,559.0,123750.0,0.0379,0.975
360670112421,529.0,231.0,54902.0,0.0019,1.0
360670112422,1198.0,373.0,52569.0,0.0192,1.0
360670112423,1633.0,632.0,83409.0,0.3619,1.0
360670112424,2897.0,1075.0,105978.0,0.1964,0.906
360670113001,918.0,397.0,93625.0,0.0621,0.8589
360670113002,793.0,370.0,61667.0,0.0076,0.9027
360670113003,1671.0,987.0,56484.0,0.0844,0.8997
360670114011,824.0,372.0,114554.0,0.1262,0.9516
360670114012,2548.0,1411.0,56792.0,0.0326,0.9256
360670114013,1167.0,579.0,88347.0,0.03,1.0
360670114014,2349.0,867.0,124034.0,0.1456,1.0
360670114021,1237.0,525.0,101122.0,0.0461,0.8857
360670114022,1830.0,720.0,80172.0,0.0131,1.0
360670114023,1274.0,546.0,76078.0,0.0573,0.956
360670115001,1904.0,805.0,97206.0,0.0593,0.9466
360670115002,2167.0,967.0,88026.0,0.0618,0.8852
360670115003,1752.0,586.0,124388.0,0.0,0.9573
360670115004,285.0,201.0,42355.0,0.0,1.0
360670116001,1887.0,776.0,80031.0,0.0408,0.9691
360670116002,1470.0,677.0,60938.0,0.0361,0.9232
360670116003,2096.0,734.0,113438.0,0.0305,0.9346
360670117001,1548.0,668.0,61641.0,0.0388,0.8817
360670117002,2091.0,1080.0,49212.0,0.1019,0.9731
360670118001,1363.0,488.0,77083.0,0.0499,0.9139
360670118002,1056.0,610.0,49355.0,0.0189,1.0
360670118003,1130.0,550.0,52188.0,0.0531,1.0
360670118004,1037.0,509.0,44688.0,0.0,1.0
360670118005,1628.0,824.0,59261.0,0.0399,0.9357
360670119001,983.0,395.0,81042.0,0.0153,0.9797
360670119002,1031.0,382.0,71402.0,0.0436,0.9346
360670119003,782.0,367.0,66333.0,0.0128,0.7956
360670119004,679.0,261.0,80938.0,0.0088,0.8966
360670120001,1350.0,698.0,49018.0,0.0074,0.8281
360670120002,1846.0,743.0,57614.0,0.0888,0.9246
360670120003,938.0,429.0,73125.0,0.0437,0.9114
360670120004,1607.0,753.0,61842.0,0.079,0.8526
360670121001,1741.0,630.0,105313.0,0.0563,0.9206
360670121002,1298.0,527.0,90724.0,0.0354,0.9222
360670121003,1599.0,622.0,109868.0,0.0444,0.9421
360670122001,1119.0,589.0,51902.0,0.0867,0.8964
360670123001,2126.0,794.0,97813.0,0.0898,1.0
360670123002,1378.0,657.0,73942.0,0.0406,0.8995
360670124001,1171.0,654.0,55536.0,0.0521,0.8823
360670124002,820.0,328.0,73696.0,0.0512,1.0
360670124003,1012.0,403.0,78173.0,0.0603,1.0
360670124004,1062.0,397.0,82560.0,0.0461,1.0
360670125001,766.0,405.0,52500.0,0.0614,0.8988
360670125002,1590.0,691.0,60907.0,0.0868,0.9884
360670125003,1221.0,593.0,72446.0,0.1016,0.8381
360670126001,684.0,275.0,85391.0,0.0,1.0
360670126002,1798.0,638.0,99375.0,0.0,0.9561
360670126003,1251.0,640.0,55417.0,0.1519,0.8797
360670126004,1620.0,706.0,80777.0,0.042,0.9306
360670127001,653.0,282.0,69464.0,0.0291,1.0
360670127002,1353.0,672.0,58100.0,0.0791,0.9554
360670128001,880.0,355.0,53675.0,0.0273,1.0
360670128002,905.0,378.0,70000.0,0.0541,1.0
360670128003,1185.0,529.0,78438.0,0.0456,0.9282
360670129001,1675.0,665.0,32634.0,0.3487,0.8677
360670129002,783.0,474.0,42898.0,0.1648,0.8143
360670130001,742.0,306.0,72663.0,0.0296,0.9967
360670130002,864.0,407.0,48456.0,0.3148,0.8575
360670130003,797.0,303.0,75781.0,0.0,1.0
360670130004,745.0,407.0,41452.0,0.0819,0.8649
360670130005,717.0,436.0,52311.0,0.2552,0.883
360670131001,787.0,373.0,65000.0,0.0318,0.8847
360670131002,1144.0,440.0,66125.0,0.1993,0.975
360670131003,1253.0,475.0,85556.0,0.0862,0.9516
360670131004,1362.0,527.0,86250.0,0.1072,0.9848
360670132001,1162.0,512.0,45583.0,0.0525,0.8398
360670132002,1495.0,631.0,88750.0,0.0288,0.9699
360670133001,611.0,320.0,61000.0,0.0458,0.95
360670133002,727.0,387.0,48256.0,0.0784,0.9612
360670133003,867.0,454.0,68867.0,0.0127,0.9626
360670134001,1328.0,535.0,63734.0,0.0181,1.0
360670134002,1587.0,683.0,79620.0,0.109,1.0
360670134003,1116.0,512.0,73478.0,0.0529,1.0
360670134004,1432.0,746.0,64609.0,0.1872,0.9812
360670135001,2094.0,1091.0,72398.0,0.0659,0.9404
360670135002,2111.0,912.0,76307.0,0.1227,0.955
360670135003,982.0,534.0,46381.0,0.0112,1.0
360670136001,950.0,492.0,59479.0,0.2411,0.9207
360670136002,510.0,273.0,44861.0,0.3176,0.9231
360670136003,1613.0,800.0,54440.0,0.0787,0.9062
360670137011,855.0,367.0,79071.0,0.0363,0.9319
360670137012,1973.0,950.0,51065.0,0.1566,0.9463
360670137013,863.0,484.0,45598.0,0.0452,0.9442
360670137014,1117.0,409.0,69250.0,0.1253,1.0
360670138001,1198.0,581.0,70256.0,0.0509,0.895
360670138002,867.0,395.0,57273.0,0.0438,0.9266
360670139001,1294.0,692.0,41484.0,0.0989,0.9436
360670139002,1300.0,471.0,59176.0,0.1369,0.9406
360670140001,1809.0,655.0,55313.0,0.105,0.9267
360670140002,469.0,254.0,64231.0,0.0085,0.874
360670140003,1151.0,672.0,48790.0,0.0817,0.7202
360670142001,922.0,394.0,55523.0,0.2462,1.0
360670142002,1168.0,684.0,37264.0,0.1404,0.8845
360670142003,1716.0,671.0,57917.0,0.1247,0.9672
360670143001,1213.0,676.0,39702.0,0.0561,0.8491
360670143002,730.0,426.0,21719.0,0.0137,0.9413
360670143003,1012.0,519.0,60962.0,0.0316,0.8015
360670144001,757.0,330.0,56611.0,0.0172,1.0
360670144002,601.0,386.0,48042.0,0.2862,0.5984
360670144003,999.0,432.0,66979.0,0.2362,0.8819
360670145001,2267.0,1122.0,70483.0,0.0745,0.8868
360670145002,1382.0,819.0,46550.0,0.0767,0.9316
360670146001,2534.0,892.0,51385.0,0.4223,0.8083
360670146002,688.0,337.0,63036.0,0.1657,0.9288
360670146003,643.0,305.0,72500.0,0.2333,0.9246
360670146004,898.0,336.0,103676.0,0.1336,1.0
360670147001,1044.0,384.0,145147.0,0.0057,0.8854
360670147002,1397.0,584.0,108912.0,0.1739,0.9332
360670147003,840.0,397.0,122431.0,0.1226,0.9597
360670147004,1331.0,605.0,96399.0,0.2442,0.9306
360670147005,1440.0,601.0,80089.0,0.216,1.0
360670148001,568.0,247.0,106141.0,0.0123,0.9109
360670148002,1605.0,568.0,167153.0,0.1346,0.9243
360670148003,990.0,434.0,96316.0,0.0556,1.0
360670149001,2330.0,683.0,90179.0,0.2481,0.9019
360670150001,894.0,384.0,88478.0,0.1107,1.0
360670150002,953.0,385.0,119219.0,0.0735,1.0
360670150003,1306.0,655.0,82760.0,0.1087,0.945
360670150004,1175.0,423.0,138906.0,0.1132,0.9811
360670151001,1320.0,525.0,124659.0,0.0121,1.0
360670151002,583.0,302.0,54167.0,0.024,0.8543
360670151003,1065.0,503.0,74971.0,0.0864,0.9761
360670151004,900.0,482.0,54333.0,0.0656,0.917
360670151005,1762.0,926.0,63750.0,0.2684,0.8564
360670152011,1570.0,676.0,124688.0,0.0478,0.9763
360670152012,1521.0,734.0,61897.0,0.1723,0.891
360670152021,2422.0,827.0,163869.0,0.1577,0.9589
360670152022,2188.0,930.0,79034.0,0.0599,0.9387
360670152031,934.0,324.0,132083.0,0.1071,1.0
360670152032,1666.0,831.0,52667.0,0.0834,0.9507
360670154001,1163.0,692.0,49773.0,0.1384,0.8497
360670154002,2027.0,742.0,61942.0,0.1909,0.9447
360670154003,1031.0,406.0,79839.0,0.1426,1.0
360670154004,1269.0,584.0,71934.0,0.2199,0.9212
360670155001,1550.0,534.0,71290.0,0.0219,1.0
360670155002,1246.0,702.0,83810.0,0.0104,0.9687
360670156011,1410.0,593.0,106607.0,0.0823,0.9562
360670156012,939.0,384.0,75292.0,0.0213,0.8151
360670156013,990.0,439.0,85926.0,0.0303,0.8793
360670157001,1367.0,634.0,107083.0,0.1251,0.806
360670157002,1497.0,687.0,97847.0,0.0194,0.9563
360670157003,1548.0,599.0,78668.0,0.0549,0.9699
360670157004,2872.0,885.0,166181.0,0.1623,0.8893
360670158001,1825.0,837.0,73650.0,0.0471,1.0
360670158002,792.0,316.0,62439.0,0.1136,1.0
360670158003,943.0,458.0,,0.0,1.0
360670158004,1287.0,481.0,67237.0,0.2183,0.8815
360670160011,1347.0,584.0,81184.0,0.0341,1.0
360670160012,881.0,365.0,72546.0,0.0114,1.0
360670160013,1032.0,422.0,66667.0,0.157,0.872
360670160021,1563.0,569.0,108235.0,0.0972,0.942
360670160022,1360.0,521.0,92857.0,0.0228,0.9827
360670161001,2657.0,919.0,99773.0,0.2032,0.8618
360670162001,661.0,281.0,46161.0,0.3343,0.9502
360670162002,1674.0,668.0,51382.0,0.3399,0.9251
360670163001,1028.0,314.0,115833.0,0.0584,1.0
360670163002,1035.0,416.0,114609.0,0.0126,0.9014
360670163003,1360.0,418.0,111719.0,0.189,0.7751
360670163004,630.0,385.0,58309.0,0.1317,0.8701
360670163005,1206.0,468.0,111250.0,0.0,1.0
360670163006,973.0,295.0,,0.1655,0.8271
360670163007,1183.0,448.0,125119.0,0.2358,0.9688
360670164001,1122.0,518.0,67857.0,0.0419,1.0
360670164002,1367.0,489.0,99741.0,0.041,0.9571
360670164003,1584.0,872.0,51049.0,0.0859,0.8337
360670165011,1710.0,752.0,72604.0,0.0281,0.8949
360670165021,957.0,439.0,66750.0,0.0,0.9317
360670165022,1226.0,622.0,59063.0,0.0783,0.9469
360670165023,1053.0,376.0,103661.0,0.0294,0.9601
360670165024,1135.0,426.0,115000.0,0.0211,1.0
360670166001,1218.0,571.0,97167.0,0.0263,0.9037
360670166002,1394.0,607.0,79702.0,0.0115,0.9275
360670166003,2145.0,1067.0,89583.0,0.0266,0.895
360670167001,1306.0,814.0,83036.0,0.0,0.6757
360670167002,1138.0,677.0,113452.0,0.0228,0.7297
360670168011,731.0,462.0,81750.0,0.0082,0.6515
360670168012,992.0,801.0,96023.0,0.0212,0.5281
360670168021,991.0,386.0,79808.0,0.005,0.8549
360670168022,1542.0,902.0,76406.0,0.0169,0.735
360670169011,1397.0,566.0,74167.0,0.0122,0.9647
360670169012,1295.0,678.0,72946.0,0.0448,0.8097
360670169021,1426.0,558.0,73438.0,0.068,0.9552
360670169022,760.0,346.0,74861.0,0.0039,0.789
360679400001,156.0,127.0,,0.9103,1.0
