GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District
360670019001,0.6710721,2.646293401,0.253589454,0.061504369,0.074833998,82.18773629,4.206676055,0.204019272,0.07709624,794.0,374.0,34469.0,0.4811,0.9813,6
360670019002,1.264933173,4.659690535,0.271462914,0.051977836,0.097211398,53.46887004,4.521845427,0.045364778,0.009735577,635.0,389.0,42301.0,0.148,0.8149,6
360670019003,0.524731315,3.221600832,0.16287906,0.070794251,0.08419732,84.08135931,3.838140053,0,0,1105.0,521.0,48594.0,0.2226,0.9194,6
360670019004,0.156888098,2.649381081,0.059216886,0.076226999,0.077050935,98.93066132,2.035637719,0,0,973.0,505.0,70156.0,0.0113,1.0,6
360670019005,0.413675108,2.67779403,0.154483543,0.062266426,0.083835557,74.27209691,2.19448534,0.057609333,0.021513728,563.0,324.0,83036.0,0.071,0.9321,6
360670020001,1.527009024,5.478443902,0.27873043,0.049758828,0.187722175,26.50663324,2.341147367,0.492497551,0.089897343,787.0,445.0,25278.0,0.3202,0.791,2
360670020002,0.757738734,2.78840054,0.271746732,0.06634365,0.079017826,83.96035838,2.217954635,0.398707484,0.142987881,1214.0,668.0,35759.0,0.1096,0.8488,2
360670021011,1.339025876,3.096315441,0.432457836,0.025144335,0.145205512,17.31637768,1.166104812,0.077929847,0.025168575,276.0,285.0,37625.0,0.279,0.6421,3
360670021012,2.308801962,7.621853832,0.302918688,0.031754933,0.176996469,17.9409978,0.873086927,0,0,689.0,540.0,34853.0,0.2758,0.7593,3
360670021013,0.661638664,2.481743504,0.266602356,0.038262787,0.093906252,40.74572928,0.955280019,0.325020693,0.130964659,1581.0,669.0,27500.0,0.241,0.7593,3
360670023001,0.664982143,1.821066076,0.365160909,0.023377741,0.042715513,54.72892486,4.205061218,0,0,627.0,407.0,27500.0,0.7257,0.629,4
360670023002,2.111642873,4.194242928,0.503462224,0.003540883,0.076960323,4.600920259,3.43427397,0.0704511,0.016797096,882.0,757.0,13770.0,0.4785,0.7107,4
360670024001,1.150467045,2.715864249,0.423609923,0.038067504,0.085529853,44.50785582,2.082627383,0.214342877,0.07892253,1251.0,572.0,23688.0,0.4852,0.8374,4
360670024002,0.460036347,1.582374894,0.290725257,0.022760773,0.040064769,56.80994464,3.672312273,0.158949453,0.100449933,775.0,430.0,37976.0,0.2439,0.8372,4
360670027001,0.555030996,1.393878858,0.398191703,0.033730921,0.051918723,64.96870301,2.878416839,0.085890861,0.061620033,613.0,394.0,39583.0,0.3458,0.802,2
360670027002,0.543481408,1.714805703,0.316934687,0.032454369,0.046356476,70.01043142,3.595985409,0.019325841,0.011269989,669.0,365.0,55446.0,0.2287,0.8986,2
360670027003,0.340793547,1.706742898,0.1996748,0.04539484,0.051695851,87.81138017,2.574722302,0,0,584.0,333.0,48510.0,0.1301,0.8198,2
360670029011,1.922805624,4.389758714,0.4380208,0.106877595,0.146733557,72.83786818,3.20480935,0.050535755,0.011512194,1659.0,911.0,71250.0,0.1338,0.8847,2
360670029012,3.612562787,8.742305239,0.413227711,0.042786751,0.451569078,9.475128526,2.76937202,0.04691308,0.005366214,1212.0,637.0,62115.0,0.1675,0.8414,2
360670030001,3.217225798,6.189483068,0.519789094,0.020638869,0.186513388,11.06562352,0.871622217,0.387159182,0.062551134,889.0,413.0,15893.0,0.5152,0.7797,11
360670030002,0.224985882,1.881012542,0.119608921,0.013430028,0.040172518,33.43088475,0.31245752,0.233093571,0.123919201,816.0,451.0,12378.0,0.6225,0.8315,11
360670032001,4.673901345,8.053808688,0.58033429,0,0.183310405,0,0.761513729,0.12839607,0.01594228,1437.0,1126.0,44545.0,0.3424,0.8757,12
360670032002,4.011897786,6.386116953,0.628221784,0,0.119047436,0,0.594368196,0.248491247,0.038911164,1861.0,565.0,16380.0,0.4949,1.0,12
360670034001,5.38485391,10.19245344,0.528317734,0.027393089,0.208228812,13.15528267,1.820208389,0.25382374,0.024903105,1393.0,977.0,21563.0,0.6095,0.6878,1
360670035001,0.790816668,2.717810764,0.290975619,0.054773805,0.080186196,68.30827219,2.081652266,0.049529765,0.01822414,1076.0,445.0,50972.0,0.3401,0.8472,7
360670035002,2.702228573,5.692261599,0.474719674,0.019882112,0.187474566,10.60523139,2.010714131,0.470320226,0.082624492,538.0,321.0,13380.0,0.7881,0.81,6
360670035003,0.762719908,1.838177329,0.414932714,0.028940738,0.057453673,50.37230372,4.948971417,0.066289343,0.036062539,823.0,541.0,22935.0,0.6367,0.7874,7
360670036011,2.589652798,5.728445535,0.452069027,0.056145151,0.237094907,23.68045419,2.904937265,0.155637372,0.027169216,1154.0,476.0,28788.0,0.8501,0.9286,7
360670036012,0.696905991,2.625031989,0.265484761,0.079140033,0.087389081,90.56055109,3.123420245,0,0,1358.0,563.0,42663.0,0.7732,0.8011,7
360670036021,3.40450497,6.118306462,0.556445642,0.04114119,0.377815098,10.88923935,2.561398649,0.958916234,0.15672903,1091.0,608.0,38092.0,0.5124,0.8322,7
360670036022,0.455003003,3.820110047,0.119107303,0.100899816,0.110335499,91.44818929,2.00291876,0,0,1153.0,430.0,61667.0,0.6592,0.893,7
360670038001,1.205160309,3.567138045,0.337850763,0.053267641,0.094848356,56.16084769,0.864661422,0.22906987,0.06421671,1181.0,496.0,32931.0,0.6799,0.754,10
360670038002,1.376064681,2.482862097,0.554225175,0.05328246,0.135092104,39.44157965,2.872808745,0.125727192,0.050638008,1120.0,498.0,28555.0,0.2973,0.8574,10
360670039001,0.505942425,1.668631511,0.303208001,0.03145401,0.051628507,60.92372574,0.191846651,0,0,423.0,284.0,13542.0,0.818,0.5704,10
360670039002,1.176944687,2.566518162,0.458576411,0.048736243,0.070084136,69.53962105,2.412391215,0,0,823.0,441.0,29613.0,0.5905,0.7143,10
360670039003,1.054187551,4.234094579,0.24897591,0.075772672,0.140405421,53.9670555,0.427560291,0,0,1791.0,946.0,12351.0,0.7147,0.611,11
360670040001,2.598908053,4.337864287,0.599121568,0.049020632,0.143734727,34.1049329,0.401716977,0.205320672,0.047332203,1387.0,707.0,18083.0,0.6172,0.6563,11
360670042001,0.121532488,1.943534523,0.062531685,0,0.036861499,0,0.589844121,0.280111376,0.144124723,984.0,477.0,10505.0,0.8811,0.9371,1
360670042002,2.118826403,7.139429265,0.296778121,0.01211711,0.220358754,5.498810495,0.640968707,0.541136707,0.075795514,1261.0,473.0,11987.0,0.8065,0.8309,1
