X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,FID
-76.128418135491,43.0363482064586,286             ,SNOW & ICE,2017/03/13 05:02:38+00,2017/03/13 05:02:39+00,230 EUCLID AVE & OSTROM AVE                       ,    Plow Up,-76.128418135491,43.0363482064586,1974
-76.1538539445239,43.0471961074681,178             ,SNOW & ICE,2017/03/13 05:02:43+00,2017/03/13 05:02:43+00,416-30 CLINTON ST S & JEFFERSON                   ,    ,-76.1538539445239,43.0471961074681,1975
-76.1538139445105,43.0471891074683,178             ,SNOW & ICE,2017/03/13 05:02:45+00,2017/03/13 05:02:45+00,416-30 CLINTON ST S & JEFFERSON                   ,    Start Moving,-76.1538139445105,43.0471891074683,1976
-76.1113466313249,43.0554541106306,179             ,SNOW & ICE,2017/03/13 05:02:48+00,2017/03/13 05:02:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113466313249,43.0554541106306,1977
-76.1140036325029,43.0598432113343,262             ,SNOW & ICE,2017/03/13 05:02:48+00,2017/03/12 06:42:51+00,452 HICKOK AVE                                    ,    ,-76.1140036325029,43.0598432113343,1978
-76.164462148234,43.0509222077417,285             ,SNOW & ICE,2017/03/13 05:02:51+00,2017/03/13 05:02:51+00,203 MATTY AVE & WILKINSON ST                      ,    ,-76.164462148234,43.0509222077418,1979
-76.1470786396755,43.0103367009534,267             ,SNOW & ICE,2017/03/13 05:02:53+00,2017/03/13 05:02:53+00,3029-31 MIDLAND AVE & BALLANTYNE                  ,    ,-76.1470786396755,43.0103367009534,1980
-76.1536911444708,43.0471917074735,178             ,SNOW & ICE,2017/03/13 05:02:58+00,2017/03/13 05:02:58+00,416-30 CLINTON ST S & JEFFERSON                   ,    Stop Moving,-76.1536911444708,43.0471917074736,1981
-76.1350337402483,43.0726241128682,216             ,SNOW & ICE,2017/03/13 05:03:03+00,2017/03/13 05:03:03+00,1314 GRANT BLVD & KENWICK DR                      ,    Stop Moving,-76.1350337402483,43.0726241128682,1982
-76.179460651548,43.0293811032017,210             ,SNOW & ICE,2017/03/13 05:03:03+00,2017/03/13 05:03:04+00,1017 STOLP AVE                                    ,    ,-76.179460651548,43.0293811032017,1983
-76.1210734347768,43.0595582110084,208             ,SNOW & ICE,2017/03/13 05:03:05+00,2017/03/13 05:03:06+00,110-12 KINNE ST & SUNSTRUCK DR                    ,    ,-76.1210734347768,43.0595582110084,1984
-76.1351242402716,43.0725392128491,216             ,SNOW & ICE,2017/03/13 05:03:08+00,2017/03/13 05:03:08+00,1314 GRANT BLVD & KENWICK DR                      ,    Spreader Off,-76.1351242402716,43.0725392128491,1985
-76.1661292487824,43.0510267076963,285             ,SNOW & ICE,2017/03/13 05:03:11+00,2017/03/13 05:03:12+00,200 VAN RENSSELAER ST & WILKI                     ,    ,-76.1661292487824,43.0510267076963,1986
-76.1355316404013,43.0725044128269,216             ,SNOW & ICE,2017/03/13 05:03:14+00,2017/03/13 05:03:14+00,1326 GRANT BLVD                                   ,    Start Moving,-76.1355316404013,43.0725044128269,1987
-76.1054632294102,43.0553802108445,265             ,SNOW & ICE,2017/03/13 05:03:24+00,2017/03/13 05:03:25+00,116 MIDLER RAMP DR W                              ,    ,-76.1054632294102,43.0553802108445,1988
-76.120842434624,43.0584754108184,208             ,SNOW & ICE,2017/03/13 05:03:24+00,2017/03/13 05:03:25+00,100 SUNSTRUCK DR & ROBINSON S                     ,    ,-76.120842434624,43.0584754108184,1989
-76.1361907406184,43.0725497128097,216             ,SNOW & ICE,2017/03/13 05:03:25+00,2017/03/13 05:03:25+00,1336 GRANT BLVD & DARLINGTON R                    ,    ,-76.1361907406185,43.0725497128097,1990
-76.1361931406215,43.0725804128153,216             ,SNOW & ICE,2017/03/13 05:03:26+00,2017/03/13 05:03:26+00,1336 GRANT BLVD & DARLINGTON R                    ,    Spreader On,-76.1361931406215,43.0725804128153,1991
-76.1102674309519,43.0551374106141,263             ,SNOW & ICE,2017/03/13 05:03:26+00,2017/03/13 05:03:26+00,1200 CANAL ST                                     ,    ,-76.1102674309519,43.0551374106141,1992
-76.1231676337976,43.0364897066877,286             ,SNOW & ICE,2017/03/13 05:03:27+00,2017/03/13 05:03:28+00,622-24 EUCLID AVE & LANCASTER AV                  ,    ,-76.1231676337976,43.0364897066877,1993
-76.1646729463812,43.0242352028285,283             ,SNOW & ICE,2017/03/13 05:03:30+00,2017/03/13 05:03:30+00,300 PARKWAY DR                                    ,    ,-76.1646729463812,43.0242352028285,1994
-76.1660881488292,43.0518604078511,285             ,SNOW & ICE,2017/03/13 05:03:31+00,2017/03/13 05:03:32+00,551-53 PARK AVE & VAN RENSSELAER                  ,    ,-76.1660881488292,43.0518604078511,1995
-76.1647304463923,43.024130102807,283             ,SNOW & ICE,2017/03/13 05:03:33+00,2017/03/13 05:03:33+00,311 PARKWAY DR                                    ,    Stop Moving,-76.1647304463923,43.024130102807,1996
-76.1103739310004,43.0553317106457,263             ,SNOW & ICE,2017/03/13 05:03:33+00,2017/03/13 05:03:33+00,1200 CANAL ST                                     ,    ,-76.1103739310004,43.0553317106457,1997
-76.1647319463927,43.0241282028066,283             ,SNOW & ICE,2017/03/13 05:03:35+00,2017/03/13 05:03:35+00,311 PARKWAY DR                                    ,    Spreader Off,-76.1647319463927,43.0241282028066,1998
-76.123138133766,43.0361832066325,286             ,SNOW & ICE,2017/03/13 05:03:35+00,2017/03/13 05:03:36+00,622-24 EUCLID AVE & LANCASTER AV                  ,    Stop Moving,-76.123138133766,43.0361832066325,1999
-76.1198037342931,43.0585617108745,208             ,SNOW & ICE,2017/03/13 05:03:38+00,2017/03/13 05:03:38+00,511 ROBINSON ST & HIXSON AVE                      ,    ,-76.1198037342931,43.0585617108745,2000
-76.115732632776,43.0558389105316,216             ,SNOW & ICE,2017/03/13 05:17:06+00,2017/03/13 05:17:06+00,1510 BURNET AVE & PEAT ST                         ,    ,-76.115732632776,43.0558389105316,2001
-76.1130587319764,43.0567862108091,208             ,SNOW & ICE,2017/03/13 05:17:11+00,2017/03/13 05:17:11+00,1701-03 BURNET AVE & HICKOK AVE                   ,    ,-76.1130587319764,43.0567862108091,2002
-76.1153724325491,43.0543101102646,261             ,SNOW & ICE,2017/03/13 05:17:15+00,2017/03/13 05:17:15+00,338 PEAT ST & CANAL ST                            ,    Stop Moving,-76.1153724325492,43.0543101102646,2003
-76.1133426320559,43.0566106107659,208             ,SNOW & ICE,2017/03/13 05:17:17+00,2017/03/13 05:17:18+00,1645 BURNET AVE & HICKOK AVE                      ,    ,-76.1133426320559,43.0566106107659,2004
-76.1795089515654,43.0294054032043,210             ,SNOW & ICE,2017/03/13 05:17:18+00,2017/03/13 05:17:19+00,1017 STOLP AVE                                    ,    ,-76.1795089515654,43.0294054032043,2005
-76.1155159325897,43.0542271102439,261             ,SNOW & ICE,2017/03/13 05:17:19+00,2017/03/13 05:17:20+00,338 PEAT ST & CANAL ST                            ,    Plow Up,-76.1155159325898,43.0542271102439,2006
-76.1054506294074,43.0553992108484,265             ,SNOW & ICE,2017/03/13 05:17:24+00,2017/03/13 05:17:25+00,116 MIDLER RAMP DR W                              ,    ,-76.1054506294074,43.0553992108484,2007
-76.1155581325729,43.0538027101642,261             ,SNOW & ICE,2017/03/13 05:17:25+00,2017/03/13 05:17:26+00,330 PEAT ST                                       ,    Start Moving,-76.1155581325729,43.0538027101642,2008
