OBJECTID,GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction
1,360670018003,0.897301705,4.399359312,0.203961905,0.109395555,0.15267804,71.65113958,2.828827711,0.134930872,0.030670573
2,360670017022,0.971236778,5.022708571,0.193369128,0.100153884,0.230086233,43.52884691,2.72801828,0.949321818,0.189005953
3,360670040001,2.598908053,4.337864287,0.599121568,0.049020632,0.143734727,34.1049329,0.401716977,0.205320672,0.047332203
4,360670039003,1.054187551,4.234094579,0.24897591,0.075772672,0.140405421,53.9670555,0.427560291,0,0
5,360670042002,2.118826403,7.139429265,0.296778121,0.01211711,0.220358754,5.498810495,0.640968707,0.541136707,0.075795514
6,360670056011,3.404891251,10.64237093,0.319937284,0.185761594,0.50554691,36.74468,1.865265357,0.418187239,0.039294556
7,360670060003,0.602362754,4.438784248,0.135704445,0.106239321,0.131913416,80.53716153,1.557950332,0.07804278,0.017582017
8,360670132002,0,0.467985856,0,0,0.071286081,0,3.799851595,0.120372312,0.257213567
9,360670043023,1.85922864,2.601602434,0.714647487,0.001744033,0.059100421,2.95096524,2.146141503,0,0
10,360670043021,1.295524516,1.748306917,0.741016639,0.003163163,0.055084499,5.742383735,3.309576713,0,0
11,360670057002,1.691173501,4.95373261,0.34139378,0.085791644,0.255305678,33.60350037,2.679694245,0.132989719,0.026846366
12,360670043022,2.704482696,5.837089099,0.463327294,0.000502195,0.261961585,0.191705645,3.353184706,0.20182145,0.034575701
13,360670034001,5.38485391,10.19245344,0.528317734,0.027393089,0.208228812,13.15528267,1.820208389,0.25382374,0.024903105
14,360670016002,1.140592397,2.1194726,0.538149159,0.005631657,0.049108227,11.46784766,2.531209015,0,0
15,360670029012,3.612562787,8.742305239,0.413227711,0.042786751,0.451569078,9.475128526,2.76937202,0.04691308,0.005366214
16,360670044002,0.555424069,3.260246394,0.170362605,0.086029845,0.104646221,82.21017849,3.619715364,0.17288491,0.053028173
17,360670014002,0.612646057,1.297962149,0.472006104,0.0275792,0.040297923,68.43826558,2.793677446,0.097866938,0.075400456
18,360670036021,3.40450497,6.118306462,0.556445642,0.04114119,0.377815098,10.88923935,2.561398649,0.958916234,0.15672903
19,360670030002,0.224985882,1.881012542,0.119608921,0.013430028,0.040172518,33.43088475,0.31245752,0.233093571,0.123919201
20,360670052002,0.726708492,2.972316347,0.244492311,0.045557407,0.098484513,46.25844785,0.941809838,0.081909778,0.027557557
21,360670061012,0.330291946,2.291611431,0.144130869,0.050494733,0.075133855,67.20636476,1.464996222,0.144936975,0.06324675
22,360670042001,0.121532488,1.943534523,0.062531685,0,0.036861499,0,0.589844121,0.280111376,0.144124723
23,360670004001,0.888293264,5.196403876,0.170943846,0.134839107,0.301262392,44.75802832,2.481208082,0.084510852,0.016263334
24,360670053002,1.32456575,3.372036433,0.392808849,0.025604899,0.137861181,18.57295786,0.874539889,0.237980764,0.07057479
25,360670029011,1.922805624,4.389758714,0.4380208,0.106877595,0.146733557,72.83786818,3.20480935,0.050535755,0.011512194
26,360670052001,0.91690337,2.474561938,0.37053159,0.023162547,0.076518769,30.2704132,0.905462005,0.094092084,0.038023734
27,360670049002,1.41045603,3.497727958,0.403249208,0.08433808,0.222457448,37.9120055,3.103893593,0.176431078,0.050441624
28,360670050001,1.568634945,6.304353464,0.248817734,0.116198438,0.246604974,47.11925971,2.881716398,0.184552273,0.029273783
29,360670050002,1.37161153,4.713650666,0.290987098,0.131460499,0.134837935,97.4951887,2.992936378,0,0
30,360670051001,0.567361466,2.406941856,0.235718808,0.022326859,0.060661571,36.80560673,1.921289826,0.024820798,0.010312172
31,360670051002,0.807090564,2.970737593,0.271680193,0.056223651,0.084913211,66.21307898,2.536430258,0,0
32,360670051003,0.680880472,2.404885322,0.283123884,0.054446443,0.067313394,80.88500695,3.952494049,0.312637413,0.130000965
33,360670053001,0.592368309,1.857699695,0.318871942,0.04493761,0.06550328,68.6036025,0.501520844,0,0
34,360670054001,0.488506013,1.774236011,0.275333163,0.02878053,0.038264918,75.21388059,2.979002701,0.349248069,0.1968442
35,360670054002,0.884955696,2.193111302,0.403516089,0.040309899,0.067034578,60.13299422,0.97261662,0,0
36,360670055003,1.153454018,4.604997192,0.250478767,0.022963333,0.345736423,6.641861218,1.884775117,0.397752516,0.086374106
37,360670057001,0.487353895,3.04546503,0.160026101,0.084698687,0.18865502,44.89606856,3.370519065,0.708515943,0.232646225
38,360670060002,1.588471348,4.112534437,0.386251197,0.182206038,0.792673043,22.98627913,1.367281952,0.707615462,0.172063109
39,360670058001,0.572398474,2.596572109,0.220443897,0.055728282,0.108093123,51.55580756,0.754206395,0.012205579,0.004700651
40,360670058002,0.603047177,2.743935071,0.21977458,0.04243017,0.092730517,45.75642536,1.035969782,0.046748554,0.017037048
